Formatter, loc, ns
scalariform, 5, 1078369
scalafmt, 4, 424075
scalariform, 141, 37036497
scalariform, 4, 812451
scalafmt, 827, 588113475
scalariform, 218, 69367797
scalafmt, 186, 77546438
scalafmt, 67, 64622760
scalafmt, 10, 23583258
scalariform, 10, 2917635
scalariform, 67, 14503784
scalafmt, 5, 895754
scalariform, 5, 798247
scalafmt, 6, 932823
scalariform, 6, 828997
scalafmt, 5, 799527
scalariform, 5, 731009
scalafmt, 5, 749598
scalariform, 5, 699976
scalariform, 186, 28375218
scalafmt, 28, 5289526
scalariform, 28, 3340250
scalafmt, 60, 46200393
scalafmt, 27, 16036036
scalariform, 27, 1809432
scalafmt, 18, 5438475
scalariform, 18, 1797648
scalafmt, 11, 1999729
scalafmt, 134, 78891382
scalariform, 11, 5276594
scalafmt, 19, 8355103
scalariform, 19, 1913570
scalariform, 60, 19647107
scalafmt, 10, 16102437
scalariform, 10, 939924
scalafmt, 8, 652419
scalariform, 8, 775948
scalafmt, 21, 5003293
scalariform, 21, 1550338
scalafmt, 16, 21665570
scalafmt, 61, 61583898
scalafmt, 9, 6091866
scalariform, 9, 645376
scalariform, 134, 33921127
scalariform, 16, 2508585
scalafmt, 5, 730954
scalariform, 5, 1053094
scalafmt, 33, 29325522
scalafmt, 153, 133704547
scalafmt, 4, 1174889
scalariform, 4, 399862
scalafmt, 3, 4206136
scalariform, 33, 5451276
scalariform, 3, 564250
scalafmt, 4, 1606891
scalariform, 4, 583265
scalafmt, 2, 354763
scalariform, 2, 595023
scalafmt, 2, 509922
scalariform, 2, 757117
scalariform, 61, 16993199
scalafmt, 2, 2544417
scalariform, 2, 832328
scalafmt, 2, 267351
scalariform, 2, 538215
scalafmt, 27, 17873703
scalafmt, 17, 1416535
scalariform, 27, 3881296
scalafmt, 55, 116346458
scalafmt, 15, 3867455
scalariform, 15, 1331635
scalariform, 827, 120382248
scalafmt, 91, 35730839
scalafmt, 11, 9492465
scalariform, 11, 686049
scalariform, 17, 19864607
scalariform, 55, 15681428
scalafmt, 4, 3101847
scalariform, 4, 1122352
scalafmt, 16, 1622781
scalariform, 16, 2058507
scalariform, 91, 14758306
scalafmt, 39, 36555835
scalafmt, 28, 14318444
scalafmt, 16, 5485951
scalariform, 16, 1689442
scalafmt, 2, 649610
scalariform, 2, 765719
scalariform, 28, 3884425
scalariform, 39, 4438167
scalafmt, 8, 1202532
scalafmt, 28, 17074965
scalariform, 153, 57756339
scalariform, 28, 3752349
scalariform, 8, 5327647
scalafmt, 7, 11743033
scalariform, 7, 578679
scalafmt, 9, 2849235
scalariform, 9, 4068798
scalafmt, 44, 74771213
scalafmt, 11, 3322837
scalariform, 11, 1048909
scalafmt, 22, 7912327
scalariform, 22, 2077503
scalariform, 44, 14908082
scalafmt, 35, 41891186
scalariform, 35, 10610410
scalafmt, 51, 55834599
scalafmt, 18, 7825731
scalafmt, 37, 20939423
scalariform, 51, 7396747
scalariform, 18, 3516464
scalafmt, 87, 61296615
scalariform, 37, 10051989
scalafmt, 40, 40531487
scalafmt, 32, 13134743
scalariform, 32, 2376087
scalariform, 87, 25756975
scalafmt, 19, 5413773
scalariform, 40, 24633441
scalariform, 19, 15392823
scalafmt, 43, 38865312
scalafmt, 59, 18779559
scalafmt, 141, 132117417
scalafmt, 104, 121062211
scalariform, 43, 4356403
scalariform, 59, 5906433
scalafmt, 57, 68424199
